,text,duck
130,"My Hero Academia Season 2- Episode 18After last weeks episode, I was really curious what they had in store for us this week",0
131,This invention relates to a metal-cutting milling tool,0
132,The Effects of Event Rate on a Cognitive Vigilance Task,0
133,"Located on the Kefalonia Island in Greece, this spectacular cave was lost for centuries until being rediscovered in 1951 by Giannis Petrocheilos",0
134,Vale de Lua – Moon Surface on EarthThe valley terrain is all covered with rock formations and intricate labyrinths created by nature,0
135,United States Court of Appeals                              For the Eighth Circuit                          ___________________________                                  No,0
136,"British scientists have identified a way in which Salmonella, the bacteria that cause typhoid fever and gastroenteritis, inactivate immune defenses in human cells",0
137,"Micro-Loan ProgramIn order to promote economic development in the City of Alamo, the Alamo EDC established the Alamo Small Business Micro-Loan Program (MLP) with assistance from USDA – Rural Development",0
138,Ability of MR cholangiography to reveal stent position and luminal diameter in patients with biliary endoprostheses: in vitro measurements and in vivo results in 30 patients,0
139,"The Doom Generation (1995)October 25, 1995FILM REVIEW;Gory Kitsch in a Parody of Teen-Age Road MoviesBy JANET MASLINPublished: October 25, 1995Production notes for Gregg Araki's ""Doom Generation"" say it is ""Araki's first big-budget feature and marks the end of his film adolescence",0
140,RakestrawRakestraw is a surname,0
141,Characterization of biofilm and encrustation on ureteric stents in vivo,0
142,From typical sequences to typical genotypes,0
143,It is a truism that modern cell phones feature a multitude of features that expand on the traditional cell phone functionality,0
144,"Udzungwa red colobusThe Uzungwa red colobus (Piliocolobus gordonorum), also known as the Udzungwa red colobus or Iringa red colobus, is a species of primate in the family Cercopithecidae",0
145,Serial imaging and SWAN sequence of developmental venous anomaly thrombosis with hematoma: Diagnosis and follow-up,0
146,Retro futuristic UI/Data design concept inspired by sci-fi movies and video games of the 80’s based off the Swiss grid system,0
147,---abstract: 'The purpose of this article is to study the problem of finding sharp lower bounds for the norm of the product of polynomials in the ultraproducts of Banach spaces $(X_i)_{\mathfrak U}$,0
148,Q:How to create a navbar with 2 collapse menu?My codes are working fine on mobile view but on desktop right side Links are getting out of nav-bar,0
149,"Q:Issue with jquery remove method on IE7?<table class=""myCustomers""> <tbody>   <tr>     <td>       <ul id=""salesCustomers"">       <li title=""cust 1""><a id=""cust_1"" >customer 1</a></li>       <li title=""cust 2""></li>       </ul>     </td>   </tr> </tbody> when i do on below on IE 7, DOM element corre",0
